Year,Quarter,Ag FT,Manufacturing FT,Retail FT,Health FT,Ag PT,Manufacturing PT,Retail PT,Health PT
2015,4,5.4259923,7.065916,2.6468982,3.0054784,3.3423321,1.599279,2.0724828,4.0180694
2015,1,7.5126406,7.6557352,2.1350226,3.0109332,3.3422852,1.5507253,1.7899719,3.7640527
2015,2,9.9076467,8.1974809,2.7238344,2.4966635,3.9903358,1.371369,2.2131721,3.5208768
2016,3,10.5038083,8.744647,3.2525611,2.1700168,3.9951817,1.2291366,3.17215,3.689844
2016,4,10.331724,7.8323019,4.1871827,2.2577721,3.8329777,1.0811495,3.4238682,3.5381425
2016,1,8.1556994,7.062059,4.5828942,2.9323958,4.0283221,1.0518892,4.4178495,3.6343816
2016,2,6.0603889,6.8630508,4.3230012,3.76607,3.7840487,1.5355108,4.5862286,3.5968385
2017,3,6.487408,6.3245116,3.9469852,4.1615063,3.6818105,1.5528225,4.1771414,3.338289
2017,4,7.3472593,5.5755139,3.2443077,4.4345177,3.6336909,1.2964746,4.0006968,3.5404737
2017,1,9.1867655,5.6161288,3.0111429,4.9654107,3.238701,1.310294,2.9781383,3.6914744
